FeatureGroup,Strategy,TriggerMethod,TriggerModel,EventModel,Model,Validation,accuracy,macro_f1,balanced_accuracy,Notes,precision_Normal,recall_Normal,f1_Normal,support_Normal,precision_LoadSwitch,recall_LoadSwitch,f1_LoadSwitch,support_LoadSwitch,precision_SLG_Fault,recall_SLG_Fault,f1_SLG_Fault,support_SLG_Fault,precision_ThreePhase_Fault,recall_ThreePhase_Fault,f1_ThreePhase_Fault,support_ThreePhase_Fault,Fault_precision,Normal_false_alarm_rate,Normal_recall,LoadSwitch_recall,LoadSwitch_to_Fault_count
All_features,flat,none,none,RandomForest,RandomForest,LOO,0.963855421686747,0.7380952380952381,0.75,,0.0,0.0,0.0,3,1.0,1.0,1.0,20,0.9090909090909091,1.0,0.9523809523809523,30,1.0,1.0,1.0,30,0.9523809523809523,1.0,0.0,1.0,0
All_features,flat,none,none,LogisticRegression,LogisticRegression,LOO,0.7469879518072289,0.4939285714285714,0.5291666666666667,,0.0,0.0,0.0,3,0.75,0.15,0.25,20,0.9090909090909091,1.0,0.9523809523809523,30,0.6444444444444445,0.9666666666666667,0.7733333333333333,30,0.7564102564102564,1.0,0.0,0.15,16
All_features,flat,none,none,LinearSVC,LinearSVC,LOO,0.7349397590361446,0.4728776286250974,0.5166666666666667,,0.0,0.0,0.0,3,0.6666666666666666,0.1,0.17391304347826086,20,0.8571428571428571,1.0,0.9230769230769231,30,0.6744186046511628,0.9666666666666667,0.7945205479452054,30,0.7564102564102564,1.0,0.0,0.1,16
All_features,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,0.6385542168674698,0.5416666666666667,0.75,,0.09090909090909091,1.0,0.16666666666666666,3,1.0,1.0,1.0,20,0.0,0.0,0.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,0.6385542168674698,0.5416666666666667,0.75,,0.09090909090909091,1.0,0.16666666666666666,3,1.0,1.0,1.0,20,0.0,0.0,0.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.6265060240963856,0.5341302841302842,0.7375,,0.08823529411764706,1.0,0.16216216216216217,3,1.0,0.95,0.9743589743589743,20,0.0,0.0,0.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.95,0
All_features,hierarchical,rule_based,RuleTrigger,LogisticRegression,LogisticRegression,LOO,0.42168674698795183,0.32724358974358975,0.5291666666666667,,0.09090909090909091,1.0,0.16666666666666666,3,0.75,0.15,0.25,20,0.0,0.0,0.0,30,0.8285714285714286,0.9666666666666667,0.8923076923076924,30,0.6304347826086957,0.0,1.0,0.15,17
All_features,hierarchical,binary_ml,RandomForest,LogisticRegression,LogisticRegression,LOO,0.42168674698795183,0.32724358974358975,0.5291666666666667,,0.09090909090909091,1.0,0.16666666666666666,3,0.75,0.15,0.25,20,0.0,0.0,0.0,30,0.8285714285714286,0.9666666666666667,0.8923076923076924,30,0.6304347826086957,0.0,1.0,0.15,17
All_features,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.42168674698795183,0.3232323232323232,0.525,,0.058823529411764705,1.0,0.1111111111111111,3,1.0,0.1,0.18181818181818182,20,0.0,0.0,0.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.1,0
All_features,hierarchical,binary_ml,LinearSVC,LogisticRegression,LogisticRegression,LOO,0.40963855421686746,0.3070957244870288,0.5166666666666667,,0.08823529411764706,1.0,0.16216216216216217,3,0.6666666666666666,0.1,0.17391304347826086,20,0.0,0.0,0.0,30,0.8285714285714286,0.9666666666666667,0.8923076923076924,30,0.6304347826086957,0.0,1.0,0.1,17
All_features,hierarchical,binary_ml,LogisticRegression,LogisticRegression,LogisticRegression,LOO,0.39759036144578314,0.2921717171717172,0.5041666666666667,,0.058823529411764705,1.0,0.1111111111111111,3,0.5,0.05,0.09090909090909091,20,0.0,0.0,0.0,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,30,0.9666666666666667,0.0,1.0,0.05,1
All_features,hierarchical,rule_based,RuleTrigger,LinearSVC,LinearSVC,LOO,0.40963855421686746,0.28653381642512077,0.5166666666666667,,0.09090909090909091,1.0,0.16666666666666666,3,0.6666666666666666,0.1,0.17391304347826086,20,0.0,0.0,0.0,30,0.6904761904761905,0.9666666666666667,0.8055555555555556,30,0.6170212765957447,0.0,1.0,0.1,18
All_features,hierarchical,binary_ml,RandomForest,LinearSVC,LinearSVC,LOO,0.40963855421686746,0.28653381642512077,0.5166666666666667,,0.09090909090909091,1.0,0.16666666666666666,3,0.6666666666666666,0.1,0.17391304347826086,20,0.0,0.0,0.0,30,0.6904761904761905,0.9666666666666667,0.8055555555555556,30,0.6170212765957447,0.0,1.0,0.1,18
All_features,hierarchical,binary_ml,LogisticRegression,LinearSVC,LinearSVC,LOO,0.3855421686746988,0.26548269581056466,0.4916666666666667,,0.058823529411764705,1.0,0.1111111111111111,3,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.9354838709677419,0.9666666666666667,0.9508196721311475,30,0.9354838709677419,0.0,1.0,0.0,2
All_features,hierarchical,binary_ml,LinearSVC,LinearSVC,LinearSVC,LOO,0.39759036144578314,0.2646567021567022,0.5041666666666667,,0.08823529411764706,1.0,0.16216216216216217,3,0.5,0.05,0.09090909090909091,20,0.0,0.0,0.0,30,0.6904761904761905,0.9666666666666667,0.8055555555555556,30,0.6170212765957447,0.0,1.0,0.05,18
