CaseName,EventType,TargetBus,CaseIndex,PredBus,Top3Pred,NearestEventType,NearestDistance,Evaluation,ExactMatch,Top3Match,OneHopMatch,is_1hop
SLG_Fault_Bus01,SLG_Fault,1.0,0,1,"[1, 1, 3]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus02,SLG_Fault,2.0,1,2,"[2, 2, 7]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus03,SLG_Fault,3.0,2,3,"[3, 3, 7]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus04,SLG_Fault,4.0,3,4,"[4, 4, 2]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus05,SLG_Fault,5.0,4,5,"[5, 5, 7]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus06,SLG_Fault,6.0,5,6,"[6, 6, 24]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus07,SLG_Fault,7.0,6,7,"[7, 7, 5]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus08,SLG_Fault,8.0,7,8,"[8, 8, 7]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus09,SLG_Fault,9.0,8,9,"[9, 9, 10]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus10,SLG_Fault,10.0,9,10,"[10, 10, 22]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus11,SLG_Fault,11.0,10,11,"[11, 11, 17]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus12,SLG_Fault,12.0,11,12,"[12, 12, 13]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus13,SLG_Fault,13.0,12,13,"[13, 13, 12]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus14,SLG_Fault,14.0,13,14,"[14, 14, 23]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus15,SLG_Fault,15.0,14,15,"[15, 15, 23]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus16,SLG_Fault,16.0,15,16,"[16, 16, 13]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus17,SLG_Fault,17.0,16,17,"[17, 17, 21]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus18,SLG_Fault,18.0,17,18,"[18, 18, 20]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus19,SLG_Fault,19.0,18,19,"[19, 19, 18]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus20,SLG_Fault,20.0,19,20,"[20, 20, 18]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus21,SLG_Fault,21.0,20,21,"[21, 21, 22]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus22,SLG_Fault,22.0,21,22,"[22, 22, 21]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus23,SLG_Fault,23.0,22,23,"[23, 23, 18]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus24,SLG_Fault,24.0,23,24,"[24, 24, 21]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus25,SLG_Fault,25.0,24,25,"[25, 25, 29]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus26,SLG_Fault,26.0,25,26,"[26, 26, 29]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus27,SLG_Fault,27.0,26,27,"[27, 27, 25]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus28,SLG_Fault,28.0,27,28,"[28, 28, 7]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus29,SLG_Fault,29.0,28,29,"[29, 29, 30]",SLG_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus30,SLG_Fault,30.0,29,30,"[30, 30, 29]",SLG_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus01,ThreePhase_Fault,1.0,30,1,"[1, 1, 3]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus02,ThreePhase_Fault,2.0,31,2,"[2, 2, 7]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus03,ThreePhase_Fault,3.0,32,3,"[3, 3, 7]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus04,ThreePhase_Fault,4.0,33,4,"[4, 4, 2]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus05,ThreePhase_Fault,5.0,34,5,"[5, 5, 7]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus06,ThreePhase_Fault,6.0,35,6,"[6, 6, 24]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus07,ThreePhase_Fault,7.0,36,7,"[7, 7, 5]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus08,ThreePhase_Fault,8.0,37,8,"[8, 8, 7]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus09,ThreePhase_Fault,9.0,38,9,"[9, 9, 10]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus10,ThreePhase_Fault,10.0,39,10,"[10, 10, 22]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus11,ThreePhase_Fault,11.0,40,11,"[11, 11, 17]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus12,ThreePhase_Fault,12.0,41,12,"[12, 12, 13]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus13,ThreePhase_Fault,13.0,42,13,"[13, 13, 12]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus14,ThreePhase_Fault,14.0,43,14,"[14, 14, 23]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus15,ThreePhase_Fault,15.0,44,15,"[15, 15, 23]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus16,ThreePhase_Fault,16.0,45,16,"[16, 16, 13]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus17,ThreePhase_Fault,17.0,46,17,"[17, 17, 21]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus18,ThreePhase_Fault,18.0,47,18,"[18, 18, 20]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus19,ThreePhase_Fault,19.0,48,19,"[19, 19, 18]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus20,ThreePhase_Fault,20.0,49,20,"[20, 20, 18]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus21,ThreePhase_Fault,21.0,50,21,"[21, 21, 22]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus22,ThreePhase_Fault,22.0,51,22,"[22, 22, 21]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus23,ThreePhase_Fault,23.0,52,23,"[23, 23, 18]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus24,ThreePhase_Fault,24.0,53,24,"[24, 24, 21]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus25,ThreePhase_Fault,25.0,54,25,"[25, 25, 29]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus26,ThreePhase_Fault,26.0,55,26,"[26, 26, 29]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus27,ThreePhase_Fault,27.0,56,27,"[27, 27, 25]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus28,ThreePhase_Fault,28.0,57,28,"[28, 28, 7]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus29,ThreePhase_Fault,29.0,58,29,"[29, 29, 30]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
ThreePhase_Fault_Bus30,ThreePhase_Fault,30.0,59,30,"[30, 30, 29]",ThreePhase_Fault,0.0,self_matching,True,True,True,True
SLG_Fault_Bus01,SLG_Fault,1.0,0,1,"[1, 3, 3]",ThreePhase_Fault,1.2790129728281063e-08,strict_loo,True,True,True,True
SLG_Fault_Bus02,SLG_Fault,2.0,1,2,"[2, 7, 7]",ThreePhase_Fault,1.4240873968667326e-08,strict_loo,True,True,True,True
SLG_Fault_Bus03,SLG_Fault,3.0,2,3,"[3, 7, 7]",ThreePhase_Fault,2.2153918855876492e-08,strict_loo,True,True,True,True
SLG_Fault_Bus04,SLG_Fault,4.0,3,4,"[4, 2, 2]",ThreePhase_Fault,1.3579357044062775e-08,strict_loo,True,True,True,True
SLG_Fault_Bus05,SLG_Fault,5.0,4,5,"[5, 7, 7]",ThreePhase_Fault,1.2328737562325152e-08,strict_loo,True,True,True,True
SLG_Fault_Bus06,SLG_Fault,6.0,5,6,"[6, 24, 24]",ThreePhase_Fault,1.5327968336842752e-08,strict_loo,True,True,True,True
SLG_Fault_Bus07,SLG_Fault,7.0,6,7,"[7, 5, 5]",ThreePhase_Fault,1.7149792097192297e-08,strict_loo,True,True,True,True
SLG_Fault_Bus08,SLG_Fault,8.0,7,8,"[8, 7, 7]",ThreePhase_Fault,1.828495933224831e-08,strict_loo,True,True,True,True
SLG_Fault_Bus09,SLG_Fault,9.0,8,9,"[9, 10, 10]",ThreePhase_Fault,2.155284458395249e-08,strict_loo,True,True,True,True
SLG_Fault_Bus10,SLG_Fault,10.0,9,10,"[10, 22, 22]",ThreePhase_Fault,1.4728457395759682e-08,strict_loo,True,True,True,True
SLG_Fault_Bus11,SLG_Fault,11.0,10,11,"[11, 17, 17]",ThreePhase_Fault,1.631691863276093e-08,strict_loo,True,True,True,True
SLG_Fault_Bus12,SLG_Fault,12.0,11,12,"[12, 13, 13]",ThreePhase_Fault,1.893938650207689e-08,strict_loo,True,True,True,True
SLG_Fault_Bus13,SLG_Fault,13.0,12,13,"[13, 12, 12]",ThreePhase_Fault,1.7895552794713585e-08,strict_loo,True,True,True,True
SLG_Fault_Bus14,SLG_Fault,14.0,13,14,"[14, 23, 23]",ThreePhase_Fault,1.3021770509118371e-08,strict_loo,True,True,True,True
SLG_Fault_Bus15,SLG_Fault,15.0,14,15,"[15, 23, 23]",ThreePhase_Fault,1.4170797312064537e-08,strict_loo,True,True,True,True
SLG_Fault_Bus16,SLG_Fault,16.0,15,16,"[16, 13, 13]",ThreePhase_Fault,1.598594880142974e-08,strict_loo,True,True,True,True
SLG_Fault_Bus17,SLG_Fault,17.0,16,17,"[17, 21, 21]",ThreePhase_Fault,2.3221819333521946e-08,strict_loo,True,True,True,True
SLG_Fault_Bus18,SLG_Fault,18.0,17,18,"[18, 20, 20]",ThreePhase_Fault,2.118024643388634e-08,strict_loo,True,True,True,True
SLG_Fault_Bus19,SLG_Fault,19.0,18,19,"[19, 18, 18]",ThreePhase_Fault,1.757057866140242e-08,strict_loo,True,True,True,True
SLG_Fault_Bus20,SLG_Fault,20.0,19,20,"[20, 18, 18]",ThreePhase_Fault,1.5984580632846716e-08,strict_loo,True,True,True,True
SLG_Fault_Bus21,SLG_Fault,21.0,20,21,"[21, 22, 22]",ThreePhase_Fault,1.3445873890967804e-08,strict_loo,True,True,True,True
SLG_Fault_Bus22,SLG_Fault,22.0,21,22,"[22, 21, 21]",ThreePhase_Fault,1.8580590749285138e-08,strict_loo,True,True,True,True
SLG_Fault_Bus23,SLG_Fault,23.0,22,23,"[23, 18, 18]",ThreePhase_Fault,1.860079725353612e-08,strict_loo,True,True,True,True
SLG_Fault_Bus24,SLG_Fault,24.0,23,24,"[24, 21, 21]",ThreePhase_Fault,2.3440842336888936e-08,strict_loo,True,True,True,True
SLG_Fault_Bus25,SLG_Fault,25.0,24,25,"[25, 29, 29]",ThreePhase_Fault,1.640944229129076e-08,strict_loo,True,True,True,True
SLG_Fault_Bus26,SLG_Fault,26.0,25,26,"[26, 29, 29]",ThreePhase_Fault,2.2122480215232546e-08,strict_loo,True,True,True,True
SLG_Fault_Bus27,SLG_Fault,27.0,26,27,"[27, 25, 25]",ThreePhase_Fault,1.548105819076207e-08,strict_loo,True,True,True,True
SLG_Fault_Bus28,SLG_Fault,28.0,27,28,"[28, 7, 7]",ThreePhase_Fault,2.0819162577042533e-08,strict_loo,True,True,True,True
SLG_Fault_Bus29,SLG_Fault,29.0,28,29,"[29, 30, 30]",ThreePhase_Fault,2.5971653432564888e-08,strict_loo,True,True,True,True
SLG_Fault_Bus30,SLG_Fault,30.0,29,30,"[30, 29, 29]",ThreePhase_Fault,1.732218926622939e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus01,ThreePhase_Fault,1.0,30,1,"[1, 3, 3]",SLG_Fault,1.2790129728281063e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus02,ThreePhase_Fault,2.0,31,2,"[2, 7, 7]",SLG_Fault,1.4240873968667326e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus03,ThreePhase_Fault,3.0,32,3,"[3, 7, 7]",SLG_Fault,2.2153918855876492e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus04,ThreePhase_Fault,4.0,33,4,"[4, 2, 2]",SLG_Fault,1.3579357044062775e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus05,ThreePhase_Fault,5.0,34,5,"[5, 7, 7]",SLG_Fault,1.2328737562325152e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus06,ThreePhase_Fault,6.0,35,6,"[6, 24, 24]",SLG_Fault,1.5327968336842752e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus07,ThreePhase_Fault,7.0,36,7,"[7, 5, 5]",SLG_Fault,1.7149792097192297e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus08,ThreePhase_Fault,8.0,37,8,"[8, 7, 7]",SLG_Fault,1.828495933224831e-08,strict_loo,True,True,True,True
ThreePhase_Fault_Bus09,ThreePhase_Fault,9.0,38,9,"[9, 10, 10]",SLG_Fault,2.155284458395249e-08,strict_loo,True,True,True,True
