FeatureGroup,Strategy,TriggerMethod,TriggerModel,EventModel,Model,Validation,accuracy,macro_f1,balanced_accuracy,Notes,precision_Normal,recall_Normal,f1_Normal,support_Normal,precision_LoadSwitch,recall_LoadSwitch,f1_LoadSwitch,support_LoadSwitch,precision_SLG_Fault,recall_SLG_Fault,f1_SLG_Fault,support_SLG_Fault,precision_ThreePhase_Fault,recall_ThreePhase_Fault,f1_ThreePhase_Fault,support_ThreePhase_Fault,Fault_precision,Normal_false_alarm_rate,Normal_recall,LoadSwitch_recall,LoadSwitch_to_Fault_count
DV_energy_only,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
DV_energy_only,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_only,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_only,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_freq,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_freq,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_freq,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_freq,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_freq,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_current,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
