,max_dV_energy,max_dI_energy,max_sag,max_HF_ratio,max_Res_ratio,max_V0_ratio,max_I0_ratio,max_V_unbalance,max_I_unbalance,max_Z_drop_ratio,min_liss_corr_abs_min,max_liss_area_norm_min
max_dV_energy,1.0,0.5012068507976893,0.7567852749927831,-0.15201460402235314,0.5615284527435336,0.6936390499918912,0.29449154105806563,0.38519162001028884,0.25164282036518093,0.7625477192348251,-0.3339080138325333,-0.81626610026217
max_dI_energy,0.5012068507976893,1.0,0.5829572424403258,-0.08133319205796198,0.40697068081252835,0.41139351325611356,0.3159274477541461,0.29922952913374784,0.3238984773766707,0.6572504529733373,-0.3278842104551996,-0.7071953004349185
max_sag,0.7567852749927831,0.5829572424403258,1.0,-0.05991977547184992,0.5884148410520403,0.462124881522346,0.514062235245663,0.4497658260067002,0.4571969172275207,0.9554118281653121,-0.39060027857393104,-0.9297693921058524
max_HF_ratio,-0.15201460402235314,-0.08133319205796198,-0.05991977547184992,1.0,-0.15753707454114171,0.15839207498518695,0.6706823209779812,0.4855121974552225,0.6884127072409694,-0.17733285259946358,-0.23529067339320245,0.03614196393305776
max_Res_ratio,0.5615284527435336,0.40697068081252835,0.5884148410520403,-0.15753707454114171,1.0,0.38941239724696997,0.44458488840160365,0.3298401951543818,0.41389160686199095,0.6224497911080877,0.05602207699009998,-0.6132208163214893
max_V0_ratio,0.6936390499918912,0.41139351325611356,0.462124881522346,0.15839207498518695,0.38941239724696997,1.0,0.3321149591192485,0.7567611911225786,0.31320345824856016,0.4753448730740136,-0.2853887169063832,-0.6100962985172393
max_I0_ratio,0.29449154105806563,0.3159274477541461,0.514062235245663,0.6706823209779812,0.44458488840160365,0.3321149591192485,1.0,0.5795510737775065,0.9938024348542182,0.4262778552059641,-0.31513264666178725,-0.5354753689330083
max_V_unbalance,0.38519162001028884,0.29922952913374784,0.4497658260067002,0.4855121974552225,0.3298401951543818,0.7567611911225786,0.5795510737775065,1.0,0.5575766003695642,0.3836160886454377,-0.23106148912769972,-0.45181724233982484
max_I_unbalance,0.25164282036518093,0.3238984773766707,0.4571969172275207,0.6884127072409694,0.41389160686199095,0.31320345824856016,0.9938024348542182,0.5575766003695642,1.0,0.3886054827134769,-0.3150541546839668,-0.49664933430390346
max_Z_drop_ratio,0.7625477192348251,0.6572504529733373,0.9554118281653121,-0.17733285259946358,0.6224497911080877,0.4753448730740136,0.4262778552059641,0.3836160886454377,0.3886054827134769,1.0,-0.3638174481395955,-0.9363711434999101
min_liss_corr_abs_min,-0.3339080138325333,-0.3278842104551996,-0.39060027857393104,-0.23529067339320245,0.05602207699009998,-0.2853887169063832,-0.31513264666178725,-0.23106148912769972,-0.3150541546839668,-0.3638174481395955,1.0,0.42674616280561817
max_liss_area_norm_min,-0.81626610026217,-0.7071953004349185,-0.9297693921058524,0.03614196393305776,-0.6132208163214893,-0.6100962985172393,-0.5354753689330083,-0.45181724233982484,-0.49664933430390346,-0.9363711434999101,0.42674616280561817,1.0
