ObservedBus,feature_count,total_importance
7,4,0.023389743428950123
25,4,0.019285829468869472
27,2,0.011465140385679518
1,2,0.009558428416706947
24,2,0.00945333448450857
20,2,0.009221629772558403
9,1,0.005382394518290872
3,1,0.00524166975909851
14,1,0.005064890753138718
15,1,0.004979650094953031
2,1,0.004714112548613469
12,1,0.004684351729344742
16,1,0.004237213914050982
29,1,0.004173595750848195
6,1,0.00414133405028877
10,1,0.00409549218058041
11,1,0.004068469076029401
18,1,0.004053810138906409
28,1,0.004050282570549154
23,1,0.003957827626784566
