CaseName,EventType,TargetBus,Strategy,TriggerMethod,TriggerModel,EventModel,Model,FeatureGroup,PredictedEventType,IsCorrect,LoadSwitchToFault
SLG_Fault_Bus01,SLG_Fault,1.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus02,SLG_Fault,2.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus03,SLG_Fault,3.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus04,SLG_Fault,4.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus05,SLG_Fault,5.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus06,SLG_Fault,6.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus07,SLG_Fault,7.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus08,SLG_Fault,8.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus09,SLG_Fault,9.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus10,SLG_Fault,10.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus11,SLG_Fault,11.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus12,SLG_Fault,12.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus13,SLG_Fault,13.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus14,SLG_Fault,14.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus15,SLG_Fault,15.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus16,SLG_Fault,16.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus17,SLG_Fault,17.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus18,SLG_Fault,18.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus19,SLG_Fault,19.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus20,SLG_Fault,20.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus21,SLG_Fault,21.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus22,SLG_Fault,22.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus23,SLG_Fault,23.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus24,SLG_Fault,24.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus25,SLG_Fault,25.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus26,SLG_Fault,26.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus27,SLG_Fault,27.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus28,SLG_Fault,28.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus29,SLG_Fault,29.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
SLG_Fault_Bus30,SLG_Fault,30.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,ThreePhase_Fault,False,False
ThreePhase_Fault_Bus01,ThreePhase_Fault,1.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus02,ThreePhase_Fault,2.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus03,ThreePhase_Fault,3.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus04,ThreePhase_Fault,4.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus05,ThreePhase_Fault,5.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus06,ThreePhase_Fault,6.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus07,ThreePhase_Fault,7.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus08,ThreePhase_Fault,8.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus09,ThreePhase_Fault,9.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus10,ThreePhase_Fault,10.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus11,ThreePhase_Fault,11.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus12,ThreePhase_Fault,12.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus13,ThreePhase_Fault,13.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus14,ThreePhase_Fault,14.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus15,ThreePhase_Fault,15.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus16,ThreePhase_Fault,16.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus17,ThreePhase_Fault,17.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus18,ThreePhase_Fault,18.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus19,ThreePhase_Fault,19.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus20,ThreePhase_Fault,20.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus21,ThreePhase_Fault,21.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus22,ThreePhase_Fault,22.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus23,ThreePhase_Fault,23.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus24,ThreePhase_Fault,24.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus25,ThreePhase_Fault,25.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus26,ThreePhase_Fault,26.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus27,ThreePhase_Fault,27.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus28,ThreePhase_Fault,28.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus29,ThreePhase_Fault,29.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
ThreePhase_Fault_Bus30,ThreePhase_Fault,30.0,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,All_features,SLG_Fault,False,False
