k,Method,SelectedBuses,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate
1,dv_energy_greedy,[26],0.5333310178753358,0.7416666666666667,0.9666666666666667,0.967741935483871,0.0
2,dv_energy_greedy,"[26, 20]",0.5333310178753358,0.7416666666666667,0.9666666666666667,0.967741935483871,0.0
3,dv_energy_greedy,"[26, 20, 24]",0.5333310178753358,0.7416666666666667,0.9666666666666667,0.967741935483871,0.0
4,dv_energy_greedy,"[26, 20, 24, 25]",0.5416666666666667,0.75,1.0,1.0,0.0
5,dv_energy_greedy,"[26, 20, 24, 25, 29]",0.5416666666666667,0.75,1.0,1.0,0.0
6,dv_energy_greedy,"[26, 20, 24, 25, 29, 30]",0.5416666666666667,0.75,1.0,1.0,0.0
7,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19]",0.5416666666666667,0.75,1.0,1.0,0.0
8,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27]",0.5416666666666667,0.75,1.0,1.0,0.0
9,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22]",0.5416666666666667,0.75,1.0,1.0,0.0
10,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23]",0.5416666666666667,0.75,1.0,1.0,0.0
11,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21]",0.5416666666666667,0.75,1.0,1.0,0.0
12,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6]",0.5416666666666667,0.75,1.0,1.0,0.0
13,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18]",0.5416666666666667,0.75,1.0,1.0,0.0
14,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17]",0.5416666666666667,0.75,1.0,1.0,0.0
15,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10]",0.5416666666666667,0.75,1.0,1.0,0.0
16,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15]",0.5416666666666667,0.75,1.0,1.0,0.0
17,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9]",0.5416666666666667,0.75,1.0,1.0,0.0
18,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14]",0.5416666666666667,0.75,1.0,1.0,0.0
19,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28]",0.5416666666666667,0.75,1.0,1.0,0.0
20,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16]",0.5416666666666667,0.75,1.0,1.0,0.0
21,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3]",0.5416666666666667,0.75,1.0,1.0,0.0
22,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8]",0.5416666666666667,0.75,1.0,1.0,0.0
23,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12]",0.5416666666666667,0.75,1.0,1.0,0.0
24,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4]",0.5416666666666667,0.75,1.0,1.0,0.0
25,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7]",0.5416666666666667,0.75,1.0,1.0,0.0
26,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7, 2]",0.5416666666666667,0.75,1.0,1.0,0.0
27,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7, 2, 1]",0.5416666666666667,0.75,1.0,1.0,0.0
28,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7, 2, 1, 5]",0.5416666666666667,0.75,1.0,1.0,0.0
29,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7, 2, 1, 5, 13]",0.5416666666666667,0.75,1.0,1.0,0.0
30,dv_energy_greedy,"[26, 20, 24, 25, 29, 30, 19, 27, 22, 23, 21, 6, 18, 17, 10, 15, 9, 14, 28, 16, 3, 8, 12, 4, 7, 2, 1, 5, 13, 11]",0.5416666666666667,0.75,1.0,1.0,0.0
1,feature_aware_greedy,[1],0.5416666666666667,0.75,1.0,1.0,0.0
2,feature_aware_greedy,"[1, 2]",0.5416666666666667,0.75,1.0,1.0,0.0
3,feature_aware_greedy,"[1, 2, 3]",0.5416666666666667,0.75,1.0,1.0,0.0
4,feature_aware_greedy,"[1, 2, 3, 4]",0.5416666666666667,0.75,1.0,1.0,0.0
5,feature_aware_greedy,"[1, 2, 3, 4, 5]",0.5416666666666667,0.75,1.0,1.0,0.0
6,feature_aware_greedy,"[1, 2, 3, 4, 5, 6]",0.5416666666666667,0.75,1.0,1.0,0.0
7,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7]",0.5416666666666667,0.75,1.0,1.0,0.0
8,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8]",0.5416666666666667,0.75,1.0,1.0,0.0
9,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5416666666666667,0.75,1.0,1.0,0.0
10,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5416666666666667,0.75,1.0,1.0,0.0
11,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5416666666666667,0.75,1.0,1.0,0.0
