CaseType,TargetBus,Phase,Vrms_pre,Vrms_fault,Irms_pre,Irms_fault,sag,V_unbalance_fault,I_unbalance_fault,V0_ratio,I0_ratio
SLG,2,A,0.5703267506720272,0.11130239875675689,0.22697146379462732,4.272662674545889,0.8048445060211412,,,,
SLG,2,B,0.6698702879765319,0.6487403904949043,0.2269822330977924,0.22710077879327364,0.03154326719797418,,,,
SLG,2,C,0.5774543497532612,0.5293606192579042,0.2271892102782273,0.22693460418705794,0.08328577058239628,,,,
SLG,2,SUMMARY,,,,,,0.5361215350878956,1.210444571997534,0.5281908036211207,0.8779510839580179
ThreePhase,2,A,0.5703267506720272,0.11130239875675689,0.22697146379462732,4.272662674545889,0.8048445060211412,,,,
ThreePhase,2,B,0.6698702879765319,0.6487403904949043,0.22698223309779236,0.22710077879327364,0.03154326719797418,,,,
ThreePhase,2,C,0.577454349753261,0.5293606192579042,0.2271892102782273,0.22693460418705794,0.08328577058239606,,,,
ThreePhase,2,SUMMARY,,,,,,0.5361215350878956,1.210444571997534,0.5281908036211207,0.8779510839580179
SLG,10,A,0.5434059762722363,0.043893929420897856,0.03336932073110277,0.003328716510487947,0.919224426418697,,,,
SLG,10,B,0.552233827674032,0.5511239009641092,0.03337155520564472,0.033388273737658854,0.002009885404155032,,,,
SLG,10,C,0.5797510773666054,0.5829715725592186,0.0334016798904338,0.033364241023098117,0.0,,,,
SLG,10,SUMMARY,,,,,,0.6289349306287593,0.6063485078287276,0.44351624028358494,0.4674580402857612
ThreePhase,10,A,0.5434059762722364,0.04389392942089786,0.03336932073110277,0.003328716510487988,0.919224426418697,,,,
ThreePhase,10,B,0.552233827674032,0.5511239009641092,0.033371555205644714,0.03338827373765886,0.002009885404155032,,,,
ThreePhase,10,C,0.5797510773666054,0.5829715725592186,0.0334016798904338,0.033364241023098117,0.0,,,,
ThreePhase,10,SUMMARY,,,,,,0.6289349306287593,0.6063485078287263,0.44351624028358494,0.4674580402857607
SLG,30,A,0.5167752009281721,0.008526956657020725,0.05565880234235946,0.0009239531708882583,0.9834996790834669,,,,
SLG,30,B,0.5170929395154259,0.517046262062906,0.05567367665731183,0.05569062622733019,9.026898058905886e-05,,,,
SLG,30,C,0.5173321006564934,0.5168538243403286,0.05571671464133133,0.05565607483800969,0.0009245053913295997,,,,
SLG,30,SUMMARY,,,,,,0.6897546143201164,0.6896490661005705,0.4927714273782196,0.4925841038479671
ThreePhase,30,A,0.516775200928172,0.008526956657020746,0.05565880234235946,0.0009239531708883002,0.9834996790834668,,,,
ThreePhase,30,B,0.5170929395154259,0.517046262062906,0.05567367665731183,0.055690626227330196,9.026898058905886e-05,,,,
ThreePhase,30,C,0.5173321006564934,0.5168538243403286,0.05571671464133133,0.05565607483800969,0.0009245053913295997,,,,
ThreePhase,30,SUMMARY,,,,,,0.6897546143201164,0.6896490661005699,0.4927714273782196,0.4925841038479668
