CaseName,EventType,TargetBus,InputFile,Variant
SSO_Normal_Case01,SSO_Normal,,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_Normal_Case01.csv,
SSO_Normal_Case02,SSO_Normal,,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_Normal_Case02.csv,
SSO_Normal_Case03,SSO_Normal,,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_Normal_Case03.csv,
SSO_LoadSwitch_Bus02,SSO_LoadSwitch,2.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus02.csv,
SSO_LoadSwitch_Bus03,SSO_LoadSwitch,3.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus03.csv,
SSO_LoadSwitch_Bus04,SSO_LoadSwitch,4.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus04.csv,
SSO_LoadSwitch_Bus05,SSO_LoadSwitch,5.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus05.csv,
SSO_LoadSwitch_Bus07,SSO_LoadSwitch,7.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus07.csv,
SSO_LoadSwitch_Bus08,SSO_LoadSwitch,8.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus08.csv,
SSO_LoadSwitch_Bus10,SSO_LoadSwitch,10.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus10.csv,
SSO_LoadSwitch_Bus12,SSO_LoadSwitch,12.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus12.csv,
SSO_LoadSwitch_Bus14,SSO_LoadSwitch,14.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus14.csv,
SSO_LoadSwitch_Bus15,SSO_LoadSwitch,15.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus15.csv,
SSO_LoadSwitch_Bus16,SSO_LoadSwitch,16.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus16.csv,
SSO_LoadSwitch_Bus17,SSO_LoadSwitch,17.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus17.csv,
SSO_LoadSwitch_Bus18,SSO_LoadSwitch,18.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus18.csv,
SSO_LoadSwitch_Bus19,SSO_LoadSwitch,19.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus19.csv,
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,20.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus20.csv,
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,21.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus21.csv,
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,23.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus23.csv,
SSO_LoadSwitch_Bus24,SSO_LoadSwitch,24.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus24.csv,
SSO_LoadSwitch_Bus26,SSO_LoadSwitch,26.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus26.csv,
SSO_LoadSwitch_Bus29,SSO_LoadSwitch,29.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus29.csv,
SSO_LoadSwitch_Bus30,SSO_LoadSwitch,30.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_LoadSwitch_Bus30.csv,
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus01.csv,
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus02.csv,
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus03.csv,
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus04.csv,
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus05.csv,
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus06.csv,
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus07.csv,
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus08.csv,
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus09.csv,
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus10.csv,
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus11.csv,
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus12.csv,
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus13.csv,
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus14.csv,
