CaseName,EventType,TargetBus,CaseIndex,PredBus,Top3Pred,NearestEventType,NearestDistance,Evaluation,ExactMatch,Top3Match,OneHopMatch,is_1hop
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,0,1,"[1, 5, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,1,2,"[2, 5, 1]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,2,3,"[3, 2, 5]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,3,4,"[4, 6, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,4,5,"[5, 2, 1]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,5,6,"[6, 8, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,6,7,"[7, 5, 2]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,7,8,"[8, 6, 5]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,8,9,"[9, 22, 11]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,9,10,"[10, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,10,11,"[11, 9, 22]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,11,12,"[12, 13, 15]",SSO_SLG_Fault,0.0,self_matching,True,True,True,True
