FeatureGroup,Strategy,TriggerMethod,TriggerModel,EventModel,Model,Validation,accuracy,macro_f1,balanced_accuracy,Notes,precision_SSO_Normal,recall_SSO_Normal,f1_SSO_Normal,support_SSO_Normal,precision_SSO_LoadSwitch,recall_SSO_LoadSwitch,f1_SSO_LoadSwitch,support_SSO_LoadSwitch,precision_SSO_SLG_Fault,recall_SSO_SLG_Fault,f1_SSO_SLG_Fault,support_SSO_SLG_Fault,precision_SSO_ThreePhase_Fault,recall_SSO_ThreePhase_Fault,f1_SSO_ThreePhase_Fault,support_SSO_ThreePhase_Fault,Fault_precision,Normal_false_alarm_rate,Normal_recall,LoadSwitch_recall,LoadSwitch_to_Fault_count
DV_energy_only,flat,none,none,RandomForest,RandomForest,LOO,0.9166666666666666,0.9416504584606835,0.9416666666666667,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,0.896551724137931,0.8666666666666667,0.8813559322033898,30,0.8709677419354839,0.9,0.8852459016393442,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,0.9166666666666666,0.9416504584606835,0.9416666666666667,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,0.896551724137931,0.8666666666666667,0.8813559322033898,30,0.8709677419354839,0.9,0.8852459016393442,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,0.9166666666666666,0.9416504584606835,0.9416666666666667,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,0.896551724137931,0.8666666666666667,0.8813559322033898,30,0.8709677419354839,0.9,0.8852459016393442,30,1.0,0.0,1.0,1.0,0
DV_energy_only,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.11904761904761904,0.1133445945945946,0.30833333333333335,,0.03896103896103896,1.0,0.075,3,0.0,0.0,0.0,21,0.0,0.0,0.0,30,1.0,0.23333333333333334,0.3783783783783784,30,1.0,0.0,1.0,0.0,0
DV_energy_only,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.11904761904761904,0.1133445945945946,0.30833333333333335,,0.03896103896103896,1.0,0.075,3,0.0,0.0,0.0,21,0.0,0.0,0.0,30,1.0,0.23333333333333334,0.3783783783783784,30,1.0,0.0,1.0,0.0,0
Voltage_time_only,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_only,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_only,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_time_freq,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_time_freq,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
