CaseName,TrueEventType,PredictedEventType,TriggerMethod,TriggerModel,EventModel,TriggerDecision,TriggerScore,TriggerTopFeature,TriggerThresholds,FeatureGroup,Strategy
SSO_LoadSwitch_Bus02,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0647076488534553,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus03,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.06033945303116,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus04,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0625185352752409,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus05,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0644618949651523,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus07,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0555664645899978,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus08,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0739085033058873,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus10,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0657117694297338,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus12,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0632268202471191,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus14,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0622228262686828,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus15,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0634426005098931,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus16,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0606293073019766,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus17,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.068247122937993,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus18,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.061662161149514,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus19,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0662868201080908,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.06122592054836,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.0761962989817597,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,SSO_LoadSwitch,rule_based,RuleTrigger,RandomForest,Event,1.061264831099559,max_dV_energy,max_dV_energy=0.0171; max_dI_energy=1e-12; max_sag=1e-12; max_Z_drop_ratio=1e-12; max_I_rms_jump=1e-12,DV_energy_only,hierarchical
