k,Method,SelectedBus
1,feature_aware_greedy,1
2,feature_aware_greedy,2
3,feature_aware_greedy,3
4,feature_aware_greedy,4
5,feature_aware_greedy,5
6,feature_aware_greedy,6
7,feature_aware_greedy,7
8,feature_aware_greedy,8
9,feature_aware_greedy,9
10,feature_aware_greedy,10
11,feature_aware_greedy,11
12,feature_aware_greedy,12
13,feature_aware_greedy,13
14,feature_aware_greedy,14
15,feature_aware_greedy,15
16,feature_aware_greedy,16
17,feature_aware_greedy,17
18,feature_aware_greedy,18
19,feature_aware_greedy,19
20,feature_aware_greedy,20
21,feature_aware_greedy,21
22,feature_aware_greedy,22
23,feature_aware_greedy,23
24,feature_aware_greedy,24
25,feature_aware_greedy,25
26,feature_aware_greedy,26
27,feature_aware_greedy,27
28,feature_aware_greedy,28
29,feature_aware_greedy,29
30,feature_aware_greedy,30
1,dv_energy_greedy,8
2,dv_energy_greedy,28
3,dv_energy_greedy,2
4,dv_energy_greedy,6
5,dv_energy_greedy,7
6,dv_energy_greedy,5
7,dv_energy_greedy,4
8,dv_energy_greedy,3
9,dv_energy_greedy,27
10,dv_energy_greedy,1
11,dv_energy_greedy,9
12,dv_energy_greedy,25
13,dv_energy_greedy,29
14,dv_energy_greedy,26
15,dv_energy_greedy,30
16,dv_energy_greedy,10
17,dv_energy_greedy,11
18,dv_energy_greedy,24
19,dv_energy_greedy,15
20,dv_energy_greedy,22
21,dv_energy_greedy,21
22,dv_energy_greedy,23
23,dv_energy_greedy,18
24,dv_energy_greedy,19
25,dv_energy_greedy,20
26,dv_energy_greedy,14
27,dv_energy_greedy,12
28,dv_energy_greedy,13
29,dv_energy_greedy,17
30,dv_energy_greedy,16
