k,Method,SelectedBuses,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall
1,dv_energy_greedy,[8],1.0,1.0,1.0,1.0,0.0,1.0
2,dv_energy_greedy,"[8, 28]",1.0,1.0,1.0,1.0,0.0,1.0
3,dv_energy_greedy,"[8, 28, 2]",1.0,1.0,1.0,1.0,0.0,1.0
4,dv_energy_greedy,"[8, 28, 2, 6]",1.0,1.0,1.0,1.0,0.0,1.0
5,dv_energy_greedy,"[8, 28, 2, 6, 7]",1.0,1.0,1.0,1.0,0.0,1.0
6,dv_energy_greedy,"[8, 28, 2, 6, 7, 5]",1.0,1.0,1.0,1.0,0.0,1.0
7,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4]",1.0,1.0,1.0,1.0,0.0,1.0
8,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3]",1.0,1.0,1.0,1.0,0.0,1.0
9,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27]",1.0,1.0,1.0,1.0,0.0,1.0
10,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1]",1.0,1.0,1.0,1.0,0.0,1.0
11,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9]",1.0,1.0,1.0,1.0,0.0,1.0
12,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25]",1.0,1.0,1.0,1.0,0.0,1.0
13,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29]",1.0,1.0,1.0,1.0,0.0,1.0
14,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26]",1.0,1.0,1.0,1.0,0.0,1.0
15,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30]",1.0,1.0,1.0,1.0,0.0,1.0
16,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10]",1.0,1.0,1.0,1.0,0.0,1.0
17,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11]",1.0,1.0,1.0,1.0,0.0,1.0
18,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24]",1.0,1.0,1.0,1.0,0.0,1.0
19,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15]",1.0,1.0,1.0,1.0,0.0,1.0
20,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22]",1.0,1.0,1.0,1.0,0.0,1.0
21,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21]",1.0,1.0,1.0,1.0,0.0,1.0
22,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21, 23]",1.0,1.0,1.0,1.0,0.0,1.0
23,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21, 23, 18]",1.0,1.0,1.0,1.0,0.0,1.0
24,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21, 23, 18, 19]",1.0,1.0,1.0,1.0,0.0,1.0
25,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21, 23, 18, 19, 20]",1.0,1.0,1.0,1.0,0.0,1.0
26,dv_energy_greedy,"[8, 28, 2, 6, 7, 5, 4, 3, 27, 1, 9, 25, 29, 26, 30, 10, 11, 24, 15, 22, 21, 23, 18, 19, 20, 14]",1.0,1.0,1.0,1.0,0.0,1.0
