selected_buses,num_features,normal_trigger_rate,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall,Method,k,CandidateBus,Trial
[1],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,1,
[2],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,2,
[3],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,3,
[4],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,4,
[5],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,5,
[6],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,6,
[7],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,7,
[8],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,8,
[9],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,9,
[10],81,0.0,0.9816006347597648,0.9797619047619048,0.9523809523809523,0.9836065573770492,0.0,1.0,feature_aware_greedy_candidate,1,10,
[11],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,11,
[12],81,0.0,0.9898040783686526,0.9880952380952381,0.9523809523809523,0.9836065573770492,0.0,1.0,feature_aware_greedy_candidate,1,12,
[13],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,13,
[14],81,0.0,0.9898040783686526,0.9880952380952381,0.9523809523809523,0.9836065573770492,0.0,1.0,feature_aware_greedy_candidate,1,14,
[15],81,0.0,0.9816006347597648,0.9797619047619048,0.9523809523809523,0.9836065573770492,0.0,1.0,feature_aware_greedy_candidate,1,15,
[16],81,0.0,0.9898040783686526,0.9880952380952381,0.9523809523809523,0.9836065573770492,0.0,1.0,feature_aware_greedy_candidate,1,16,
[17],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,17,
[18],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,18,
[19],81,0.0,0.9916643512086691,0.9916666666666667,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,19,
[20],81,0.0,0.9916643512086691,0.9916666666666667,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,20,
[21],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,21,
[22],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,22,
[23],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,23,
[24],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,24,
[25],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,25,
[26],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,26,
[27],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,27,
[28],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,28,
[29],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,29,
[30],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,1,30,
[1],81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,1,1,
"[1, 2]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,2,
"[1, 3]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,3,
"[1, 4]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,4,
"[1, 5]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,5,
"[1, 6]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,6,
"[1, 7]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,7,
"[1, 8]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,8,
"[1, 9]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,9,
"[1, 10]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,10,
"[1, 11]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,11,
"[1, 12]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,12,
"[1, 13]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,13,
"[1, 14]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,14,
"[1, 15]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,15,
"[1, 16]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,16,
"[1, 17]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,17,
"[1, 18]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,18,
"[1, 19]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,19,
"[1, 20]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,20,
"[1, 21]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,21,
"[1, 22]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,22,
"[1, 23]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,23,
"[1, 24]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,24,
"[1, 25]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,25,
"[1, 26]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,26,
"[1, 27]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,27,
"[1, 28]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,28,
"[1, 29]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,29,
"[1, 30]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,2,30,
"[1, 2]",162,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,2,2,
"[1, 2, 3]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,3,
"[1, 2, 4]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,4,
"[1, 2, 5]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,5,
"[1, 2, 6]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,6,
"[1, 2, 7]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,7,
"[1, 2, 8]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,8,
"[1, 2, 9]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,9,
"[1, 2, 10]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,10,
"[1, 2, 11]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,11,
"[1, 2, 12]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,12,
"[1, 2, 13]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,13,
"[1, 2, 14]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,14,
"[1, 2, 15]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,15,
"[1, 2, 16]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,16,
"[1, 2, 17]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,17,
"[1, 2, 18]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,18,
"[1, 2, 19]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,19,
"[1, 2, 20]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,20,
"[1, 2, 21]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,21,
"[1, 2, 22]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,22,
"[1, 2, 23]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,23,
"[1, 2, 24]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,24,
"[1, 2, 25]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,25,
"[1, 2, 26]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,26,
"[1, 2, 27]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,27,
"[1, 2, 28]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,28,
"[1, 2, 29]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,29,
"[1, 2, 30]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,30,
"[1, 2, 3]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,3,3,
"[1, 2, 3, 4]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,4,
"[1, 2, 3, 5]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,5,
"[1, 2, 3, 6]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,6,
"[1, 2, 3, 7]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,7,
"[1, 2, 3, 8]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,8,
"[1, 2, 3, 9]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,9,
"[1, 2, 3, 10]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,10,
"[1, 2, 3, 11]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,11,
"[1, 2, 3, 12]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,12,
"[1, 2, 3, 13]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,13,
"[1, 2, 3, 14]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,14,
"[1, 2, 3, 15]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,15,
"[1, 2, 3, 16]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,16,
"[1, 2, 3, 17]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,17,
"[1, 2, 3, 18]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,18,
"[1, 2, 3, 19]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,19,
"[1, 2, 3, 20]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,20,
