BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Infeasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9723522899879268,0.9776127479329921,0.01569501588755373,0.862964642220283,0.9848451828496296,504
Infeasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.24179563056931544,0.24364331622021915,0.004408715587068485,0.2280464652417248,0.2521313290610208,72
Infeasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.15489912482762844,0.14530639878690638,0.035817253878505845,0.0121185179845753,0.6618709200658541,720
Infeasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.13610275118185686,0.13638240270683946,0.06956764702991938,0.0012764544335467,0.6850230335655981,720
Infeasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9723522899879268,0.9776127479329921,0.01569501588755373,0.862964642220283,0.9848451828496296,504
Infeasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.24179563056931544,0.24364331622021915,0.004408715587068485,0.2280464652417248,0.2521313290610208,72
Infeasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.15489912482762844,0.14530639878690638,0.035817253878505845,0.0121185179845753,0.6618709200658541,720
Infeasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.13610275118185686,0.13638240270683946,0.06956764702991938,0.0012764544335467,0.6850230335655981,720
Infeasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_LoadSwitch,Non-fault,0.9716768493758259,0.9774717681430745,0.015863621684957918,0.8471267898247473,0.9846151385200408,504
Infeasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_Normal,Non-fault,0.23155444641655323,0.23205180162327155,0.00235008862627456,0.2207693660656002,0.2396062711703381,72
Infeasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_SLG_Fault,Fault,0.1468590926083722,0.1432470548588367,0.04499198675852639,0.0085188364143123,0.6618709200658541,720
Infeasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_ThreePhase_Fault,Fault,0.12763025672532763,0.13436280244100707,0.07846558755687656,0.0012764544335467,0.6501223977444434,720
Infeasible single-WMU buses,Delta I unbalance,SSO_LoadSwitch,Non-fault,0.0032526117880532675,0.0033321841388645,0.0001152489783570001,0.0021381475658179,0.0034690068115967,504
Infeasible single-WMU buses,Delta I unbalance,SSO_Normal,Non-fault,0.017675585126616943,0.01777031681857275,0.0002551631439823253,0.0161070289084808,0.0179772929767234,72
Infeasible single-WMU buses,Delta I unbalance,SSO_SLG_Fault,Fault,0.19088838123482665,0.12762079159993775,0.15139674070317394,0.0145265547437376,0.9538656480799476,720
