WMUSet,FaultScoreMargin,BestThreshold,NonFaultMaxScore,FaultMinScore,Feasible
1,-0.10178384783243966,0.5303053145002623,0.7840562584380936,0.6822724106056539,False
2,-0.05728821195796274,0.4622191450134897,0.6776275425763038,0.620339330618341,False
3,-0.04065375079245648,0.6805626801987482,0.8972576943325807,0.8566039435401243,False
4,-0.04251275338070737,0.6833663747287493,0.9046642114054179,0.8621514580247105,False
5,0.17037715340758441,0.10948960603485208,0.024301029331059876,0.1946781827386443,True
6,0.12428295733380001,0.6747318689893199,0.6125903903224199,0.7368733476562199,True
7,-0.1267520436455929,0.6524091117676962,0.9199081570686989,0.793156113423106,False
8,-0.1201792959130531,0.6501428562965268,0.9160631775575236,0.7958838816444705,False
9,-0.01814546043723031,0.8388002679140736,0.8374507502848438,0.8193052898476135,False
10,-0.08622609565331807,0.9005587584869448,0.8994815578497053,0.8132554621963872,False
11,-0.20096215089240632,0.47296338396850757,0.7789962192757299,0.5780340683833236,False
12,-0.34220004924380887,0.5429377645422744,0.8988251514238184,0.5566251021800095,False
13,-0.25874016222333374,0.4394262268146192,0.7894726419472965,0.5307324797239628,False
14,-0.3180797423199737,0.5437410971954204,0.899521717437895,0.5814419751179213,False
15,-0.31140329672906375,0.5495461830360622,0.9060763863042338,0.5946730895751701,False
16,-0.13837379634994162,0.6359446019849515,0.9049784361299903,0.7666046397800487,False
17,-0.04667546948538981,0.9014445601548293,0.8990745586206602,0.8523990891352704,False
18,-0.14927615416727003,0.6315535255047655,0.905991867096879,0.7567157129296089,False
19,-0.029290464095639512,0.6938690448073577,0.9010813872836303,0.8717909231879908,False
20,-0.03527950619437181,0.6886912870971584,0.89702536809143,0.8617458618970582,False
21,-0.024292148740738706,0.6955598784839232,0.9097867987256192,0.8854946499848805,False
22,0.0015040813586826296,0.8616831407642144,0.8609311000848731,0.8624351814435557,True
23,-0.09232108416030649,0.9074400166643157,0.8997056351793589,0.8073845510190524,False
24,0.025078922527893677,0.9144939488354367,0.9019544875714899,0.9270334100993836,True
25,0.028305409472453746,0.7921692156255679,0.778016510889341,0.8063219203617947,True
26,-0.0024299573735528934,0.9231290902861988,0.911750528999875,0.9093205716263221,False
27,0.08748931062213039,0.7145834955057693,0.6708388401947041,0.7583281508168345,True
28,-0.04962910440877988,0.6219776981263142,0.8469330555234745,0.7973039511146947,False
29,-0.023235518459134963,0.9231822815732764,0.9174427457677923,0.8942072273086573,False
30,-0.024664433132769337,0.9262323977586476,0.9210596995077088,0.8963952663749395,False
