Feature,Importance
Bus27__I_rms_pre_C,0.018046369558500593
Bus11__I_rms_pre_B,0.017383933373964423
Bus30__I2_ratio,0.012247111379757905
Bus24__dV_HF_ratio_A,0.012074336710102477
Bus17__dI_SSO20_30_ratio_B,0.009912121872289495
Bus16__dI_SSC5_55_ratio_B,0.009090596264998769
Bus16__dV_HF_ratio_A,0.008187767660920303
Bus17__dI_HF_ratio_A,0.008129699725291428
Bus17__dI_Res_ratio_B,0.007809073431809146
Bus13__I_rms_jump_B,0.007733210774716423
Bus27__sag_C,0.007271143263839461
Bus29__dI_SSO20_30_ratio_B,0.007155718813022181
Bus14__dV_E28_ratio_A,0.006664693150091022
Bus30__dV_SSC5_55_ratio_B,0.006502340335252277
Bus05__Delta_V_unbalance,0.006431155218661869
Bus28__dI_HF_ratio_A,0.006404237234025565
Bus02__I_rms_post_A,0.0063878699964214445
Bus08__Delta_Z_app,0.006373891072701622
Bus16__I_rms_pre_A,0.006195701685369993
Bus21__dI_SSO20_30_ratio_B,0.006112130003578549
Bus16__dI_energy_B,0.006095762765974425
Bus03__dI_HF_ratio_3ph_max,0.006093956180133047
Bus18__dI_SSO20_30_ratio_B,0.006068844781338121
Bus05__Delta_Z_app,0.005997659664747698
Bus01__dV_E28_ratio_A,0.005973451909853479
Bus09__I_rms_jump_C,0.005911222463028236
Bus27__I_rms_post_C,0.005835306849908986
Bus21__Delta_V_unbalance,0.00570634047167411
Bus15__I2_ratio,0.005622322375928415
Bus06__I_rms_jump_C,0.0055607433145126155
Bus05__I_unbalance_post,0.005470613570103362
Bus16__dI_SSO20_30_ratio_B,0.005377394799917264
Bus17__liss_area_norm_min,0.005344281186977809
Bus06__dV_HF_ratio_C,0.005338638193199906
Bus02__dV_energy_A,0.005321361824869215
Bus16__I_rms_pre_B,0.0053099119555585755
Bus02__I_unbalance_post,0.0052645550482247425
Bus11__Delta_I_unbalance,0.005258636455523788
Bus17__I_rms_pre_B,0.005254162644787644
Bus21__I_rms_pre_B,0.005232436684683978
