Feature,KruskalWallisPValue,MaxAbsCliffsDelta,TopSeparatingClassPair,CliffsDeltaSigned,PairwiseCliffsDelta
Delta_I_unbalance,5.509056734482466e-16,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault:1; SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1
mean_sag,5.509056734482466e-16,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault,-1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1
I0_ratio,7.115600161600845e-16,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault:1; SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-0.428571
dV_Res_ratio_3ph_max,9.813328711136756e-16,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault,1.0,SSO_SLG_Fault vs SSO_ThreePhase_Fault:1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_SLG_Fault:0.977778; SSO_Normal vs SSO_ThreePhase_Fault:-0.733333
max_sag,1.3250277879897656e-15,1.0,SSO_Normal vs SSO_ThreePhase_Fault,-1.0,SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:-0.96
I2_ratio,2.33139146763279e-15,1.0,SSO_Normal vs SSO_LoadSwitch,1.0,SSO_Normal vs SSO_LoadSwitch:1; SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:0.933333
dI_energy_3ph_mean,3.344827252118789e-13,1.0,SSO_Normal vs SSO_ThreePhase_Fault,-1.0,SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:-0.653333
Delta_V_unbalance,9.72101422280213e-13,1.0,SSO_Normal vs SSO_LoadSwitch,1.0,SSO_Normal vs SSO_LoadSwitch:1; SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:0.575556
V2_ratio,1.395754669710205e-12,1.0,SSO_Normal vs SSO_ThreePhase_Fault,-1.0,SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:0.546667
dV_energy_3ph_mean,5.134711746664259e-12,1.0,SSO_Normal vs SSO_ThreePhase_Fault,-1.0,SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_SLG_Fault vs SSO_ThreePhase_Fault:-0.426667
V0_ratio,6.089245945340881e-12,1.0,SSO_Normal vs SSO_ThreePhase_Fault,-1.0,SSO_Normal vs SSO_ThreePhase_Fault:-1; SSO_Normal vs SSO_SLG_Fault:-1; SSO_LoadSwitch vs SSO_ThreePhase_Fault:-1; SSO_LoadSwitch vs SSO_SLG_Fault:-1; SSO_Normal vs SSO_LoadSwitch:0.809524; SSO_SLG_Fault vs SSO_ThreePhase_Fault:0.42
