Rank,Feature,Source,ObservedBus,LoadSwitchVsRestCliffsDelta,LoadSwitchVsRestAbsCliffsDelta,LoadSwitchVsNormalCliffsDelta,LoadSwitchVsSLGCliffsDelta,LoadSwitchVsThreePhaseCliffsDelta,KruskalWallisPValue,OneFeatureBalancedAccuracy,OneFeatureF1,Normal_Mean,Normal_Median,Normal_IQR,LoadSwitch_Mean,LoadSwitch_Median,LoadSwitch_IQR,SLG_Fault_Mean,SLG_Fault_Median,SLG_Fault_IQR,ThreePhase_Fault_Mean,ThreePhase_Fault_Median,ThreePhase_Fault_IQR,Signal,BandHz,Aggregation
3,raw_dV_band_0_10Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.1607969607763383e-13,1.0,1.0,0.0001237543156722659,0.0001237543156722659,0.0,1.694036290629748e-05,1.6823706578995466e-05,6.530700761226648e-07,0.03121385024311496,0.03229539657553153,0.03614978761716294,0.014647063985769211,0.003042897652947554,0.011336826670421844,dV,0_10Hz,3ph_max
4,raw_dV_band_0_10Hz_ratio_C,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.571537276821668e-13,1.0,1.0,1.5372215604791278e-05,1.5372215604791278e-05,0.0,1.2724501163321196e-05,1.2620384890407568e-05,1.592115327338016e-07,0.025799532653159468,0.026850833078187086,0.03199082979733552,0.011596231822455626,0.0008232059964024968,0.005698784829719858,dV,0_10Hz,C
5,raw_dI_band_100_150Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.5834766051628944e-13,1.0,1.0,0.005009403847007426,0.005009403847007426,0.0,6.847965702646197e-05,5.237472982975999e-05,2.8015811776299903e-06,0.0029055427744665127,0.0018271125676233078,0.00044561080520766697,0.004843903977589117,0.004649027569358947,0.0008666848938771688,dI,100_150Hz,3ph_max
6,raw_dV_band_0_10Hz_ratio_B,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,5.372315270216565e-13,1.0,1.0,0.00011927217957417989,0.00011927217957417989,0.0,1.6884874057998572e-05,1.6823706578995466e-05,6.530700761226648e-07,0.027307185653046327,0.028869664907945406,0.03616152149761755,0.01270032060275665,0.0016259415354228594,0.0043213810206248465,dV,0_10Hz,B
7,raw_dI_band_80_100Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,7.494944551122266e-13,1.0,1.0,0.006073259349452887,0.006073259349452887,0.0,7.839367137561346e-05,4.541141327677208e-05,1.5364591139398198e-05,0.00942887986297928,0.004071645020253934,0.0009484418707292643,0.008849769750081617,0.008762150916226796,0.0017264820625328813,dI,80_100Hz,3ph_max
8,raw_dI_band_30_40Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,3.4194288569984297e-12,1.0,1.0,0.06619217048781038,0.06619217048781038,0.0,0.0004944520373137325,0.0001447914174728231,4.179035338751716e-05,0.12746608531076065,0.1318180301584641,0.023528528183699354,0.14227017471128506,0.14821321362953516,0.014553164889316322,dI,30_40Hz,3ph_max
9,raw_dV_band_0_10Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,9.377706184544432e-12,1.0,1.0,0.0001237543156722659,0.0001237543156722659,0.0,9.359494553092444e-06,8.998774991028936e-06,3.587120498383039e-07,0.017143140841354064,0.006703840596715052,0.026209146167937368,0.013571668026306709,0.002622078190880028,0.011335665814549704,dV,0_10Hz,A
10,raw_dV_band_10_20Hz_ratio_C,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.1888916532639439e-11,1.0,1.0,0.0002473374931551691,0.0002473374931551691,0.0,1.8473517775413762e-05,1.3236172748289006e-05,5.328633603932762e-07,0.09990961220903369,0.06899558824731054,0.1306202696187814,0.05637253990707766,0.010646226410409642,0.03321061360977921,dV,10_20Hz,C
11,raw_dV_band_10_20Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.432187100650978e-11,1.0,1.0,0.0013215558914292426,0.0013215558914292426,0.0,3.047129724963741e-05,1.5104813621294368e-05,1.2170294239634204e-06,0.12049993054198739,0.09825003313867703,0.09705058002893385,0.0869708563466367,0.044638953448565034,0.09978337555048689,dV,10_20Hz,3ph_max
12,raw_dV_band_30_40Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.8393562115276086e-11,1.0,1.0,0.025158883748423417,0.025158883748423417,0.0,0.0001147982914399189,2.0220901030352827e-05,1.945322794167355e-05,0.13508851543309267,0.13550041862637524,0.029395518307619162,0.1101250416379653,0.13159543976354823,0.03976812721016715,dV,30_40Hz,A
13,raw_dI_band_10_20Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.2020951057013984e-11,1.0,1.0,0.00897066711904199,0.00897066711904199,0.0,0.0010656674606363398,0.0009041120059347225,5.647157880041243e-05,0.24894387130149678,0.22979664585287574,0.06733522845881895,0.2720827532838514,0.27000054344557245,0.10924920003796165,dI,10_20Hz,3ph_max
15,raw_dV_band_40_50Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.6390660790716147e-11,1.0,1.0,0.023731213091283666,0.023731213091283666,0.0,9.490536506429429e-05,1.9571297796037727e-05,1.9195984307383476e-05,0.19478432113030045,0.20776346333968404,0.019933289207214627,0.1548804092274269,0.1714961531272784,0.12814381877310813,dV,40_50Hz,3ph_max
