CaseName,EventType,TargetBus,PredBus,Top3Pred,ExactMatch,Top3Match,OneHopMatch,TwoHopMatch,GraphDistance,TrueZone,PredZone,ZoneMatch
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,5,"[5, 2, 3]",False,False,False,True,2,Zone1,Zone1,True
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,5,"[5, 1, 3]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,2,"[2, 5, 1]",False,False,False,True,2,Zone1,Zone1,True
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,6,"[6, 2, 8]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,2,"[2, 1, 7]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,8,"[8, 2, 4]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,5,"[5, 2, 1]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,6,"[6, 5, 2]",False,False,True,True,1,Zone1,Zone1,True
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,22,"[22, 11, 21]",False,False,False,True,2,Zone2,Zone2,True
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,9,"[9, 22, 21]",False,False,True,True,1,Zone2,Zone2,True
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,9,"[9, 22, 13]",False,False,True,True,1,Zone2,Zone2,True
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,13,"[13, 15, 9]",False,False,True,True,1,Zone3,Zone3,True
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,12,"[12, 11, 16]",False,False,True,True,1,Zone3,Zone3,True
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,2,"[2, 25, 5]",False,False,False,False,3,Zone3,Zone1,False
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,13,"[13, 12, 9]",False,False,False,True,2,Zone3,Zone3,True
