Bus,Zone,Method
1,Zone1,greedy modularity community detection
2,Zone1,greedy modularity community detection
3,Zone1,greedy modularity community detection
4,Zone1,greedy modularity community detection
5,Zone1,greedy modularity community detection
6,Zone1,greedy modularity community detection
7,Zone1,greedy modularity community detection
8,Zone1,greedy modularity community detection
9,Zone2,greedy modularity community detection
10,Zone2,greedy modularity community detection
11,Zone2,greedy modularity community detection
12,Zone3,greedy modularity community detection
13,Zone3,greedy modularity community detection
14,Zone3,greedy modularity community detection
15,Zone3,greedy modularity community detection
16,Zone2,greedy modularity community detection
17,Zone2,greedy modularity community detection
18,Zone3,greedy modularity community detection
19,Zone3,greedy modularity community detection
20,Zone3,greedy modularity community detection
21,Zone2,greedy modularity community detection
22,Zone2,greedy modularity community detection
23,Zone4,greedy modularity community detection
24,Zone4,greedy modularity community detection
25,Zone4,greedy modularity community detection
26,Zone4,greedy modularity community detection
27,Zone4,greedy modularity community detection
28,Zone1,greedy modularity community detection
29,Zone4,greedy modularity community detection
30,Zone4,greedy modularity community detection
