Feature,PermutationImportance,PermutationStd,CandidateScope
Bus01__I_rms_jump_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus01__dV_E28_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus02__I_rms_post_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus02__I_unbalance_post,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus02__dV_energy_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus03__I_rms_jump_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus03__dI_HF_ratio_3ph_max,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus03__dI_energy_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus05__Delta_V_unbalance,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus05__Delta_Z_app,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus05__I_unbalance_post,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus06__I_rms_jump_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus06__dV_HF_ratio_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus08__Delta_Z_app,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus09__I_rms_jump_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus09__dV_HF_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus10__dI_SSO20_30_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus11__Delta_I_unbalance,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus11__I_rms_pre_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus11__dI_SSC5_55_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus11__dV_SSC5_55_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus11__sag_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus12__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus13__Delta_I_unbalance,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus13__I_rms_jump_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus14__dV_E28_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus15__I2_ratio,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__I_rms_pre_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__I_rms_pre_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__dI_SSC5_55_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__dI_energy_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus16__dV_HF_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__I_rms_pre_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__dI_HF_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__dI_Res_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__liss_area_norm_min,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus17__sag_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus18__dI_SSO20_30_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus18__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus20__dV_HF_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus21__Delta_V_unbalance,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus21__I_rms_pre_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus21__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus21__dI_SSO20_30_ratio_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus22__V2_ratio,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus24__dV_HF_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus24__dV_energy_3ph_max,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus24__max_sag,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus27__I2_ratio,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus27__I_rms_post_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus27__I_rms_pre_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus27__sag_C,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus28__dI_HF_ratio_A,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus29__dI_SSO20_30_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus30__I2_ratio,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus30__dV_E72_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
Bus30__dV_SSC5_55_ratio_B,0.0,0.0,top 60 impurity-ranked full-WMU features
max_I_unbalance,0.0,0.0,top 60 impurity-ranked full-WMU features
