Bus,Feasible,NormalFP,LoadSwitchFP,SLGFN,ThreePhaseFN,DominantFailureReason,FaultScoreMargin,NonFaultMaxScore,FaultMinScore
1,False,3,0,0,0,Normal false alarm,-0.1017838478324396,0.7840562584380936,0.6822724106056539
2,False,3,0,0,0,Normal false alarm,-0.0572882119579627,0.6776275425763038,0.620339330618341
3,False,3,0,0,0,Normal false alarm,-0.0406537507924564,0.8972576943325807,0.8566039435401243
4,False,3,0,0,0,Normal false alarm,-0.0425127533807073,0.904664211405418,0.8621514580247105
5,True,0,0,0,0,Feasible,0.1703771534075844,0.0243010293310598,0.1946781827386443
6,True,0,0,0,0,Feasible,0.1242829573338,0.6125903903224199,0.7368733476562199
7,False,3,0,0,0,Normal false alarm,-0.1267520436455929,0.9199081570686988,0.793156113423106
8,False,3,0,0,0,Normal false alarm,-0.1201792959130531,0.9160631775575236,0.7958838816444705
9,False,0,0,0,1,ThreePhase missed fault,-0.0181454604372303,0.8374507502848438,0.8193052898476135
10,False,0,0,1,0,SLG missed fault,-0.086226095653318,0.8994815578497053,0.8132554621963872
11,False,3,0,0,0,Normal false alarm,-0.2009621508924063,0.7789962192757299,0.5780340683833236
12,False,3,1,0,0,Combined failure,-0.3422000492438088,0.8988251514238184,0.5566251021800095
13,False,3,0,0,0,Normal false alarm,-0.2587401622233337,0.7894726419472965,0.5307324797239628
14,False,3,0,0,0,Normal false alarm,-0.3180797423199737,0.899521717437895,0.5814419751179213
15,False,3,0,0,0,Normal false alarm,-0.3114032967290637,0.9060763863042338,0.5946730895751701
16,False,3,0,0,0,Normal false alarm,-0.1383737963499416,0.9049784361299904,0.7666046397800487
17,False,0,0,2,0,SLG missed fault,-0.0466754694853898,0.8990745586206602,0.8523990891352704
18,False,3,0,0,0,Normal false alarm,-0.14927615416727,0.905991867096879,0.7567157129296089
19,False,3,0,0,0,Normal false alarm,-0.0292904640956395,0.9010813872836304,0.8717909231879908
20,False,3,0,0,0,Normal false alarm,-0.0352795061943718,0.89702536809143,0.8617458618970582
21,False,3,0,0,0,Normal false alarm,-0.0242921487407387,0.9097867987256192,0.8854946499848805
22,True,0,0,0,0,Feasible,0.0015040813586826,0.8609311000848731,0.8624351814435557
23,False,0,0,0,1,ThreePhase missed fault,-0.0923210841603064,0.8997056351793589,0.8073845510190524
24,True,0,0,0,0,Feasible,0.0250789225278936,0.90195448757149,0.9270334100993836
25,True,0,0,0,0,Feasible,0.0283054094724537,0.778016510889341,0.8063219203617947
26,False,0,0,1,1,Combined failure,-0.0024299573735528,0.911750528999875,0.909320571626322
27,True,0,0,0,0,Feasible,0.0874893106221303,0.6708388401947041,0.7583281508168345
28,False,3,0,0,0,Normal false alarm,-0.0496291044087798,0.8469330555234745,0.7973039511146947
29,False,0,0,1,1,Combined failure,-0.0232355184591349,0.9174427457677924,0.8942072273086573
30,False,0,0,1,1,Combined failure,-0.0246644331327693,0.9210596995077088,0.8963952663749395
